0x47844a2d04000000,A
0x47844a2d0c000000,A
0x47844a2d14000000,A
0x47844a2d1c000000,A
0x47844a2d34000000,A
0x47844a2d3c000000,A
0x47844a2d44000000,A
0x47844a2d4c000000,A
0x47844a2d54000000,A
0x47844a2d5c000000,A
0x47844a2d64000000,A
0x47844a2d6c000000,A
0x47844a2d74000000,A
0x47844a2d7c000000,A
0x47844a2d84000000,A
0x47844a2d8c000000,A
0x47844a2d94000000,A
0x47844a2d9c000000,A
0x47844a2da4000000,A
0x47844a2dac000000,A
0x47844a2db4000000,A
0x47844a2dbc000000,A
0x47844a2dc4000000,A
0x47844a2dec000000,A
0x47844a2df4000000,A
0x47844a320c000000,A
0x47844a3214000000,A
0x47844a321c000000,A
0x47844a3224000000,A
0x47844a322c000000,A
0x47844a3234000000,A
0x47844a323c000000,A
0x47844a3244000000,A
0x47844a324c000000,A
0x47844a3254000000,A
0x47844a325c000000,A
0x47844a3264000000,A
0x47844a326c000000,A
0x47844a3274000000,A
0x47844a327c000000,A
0x47844a3284000000,A
0x47844a328c000000,A
0x47844a3294000000,A
0x47844a329c000000,A
0x47844a32a4000000,A
0x47844a32ac000000,A
0x47844a32b4000000,A
0x47844a32bc000000,A
0x47844a32c4000000,A
0x47844a32cc000000,A
0x47844a32dc000000,A
0x47844a32e4000000,A
0x47844a32ec000000,A
0x47844a32f4000000,A
0x47844a32fc000000,A
0x47844a3304000000,A
0x47844a330c000000,A
0x47844a3314000000,A
0x47844a331c000000,A
0x47844a3324000000,A
0x47844a333c000000,A
0x47844a33a4000000,A
0x47844a33ac000000,A
0x47844a33b4000000,A
0x47844a33bc000000,A
0x47844a33c4000000,A
0x47844a33cc000000,A
0x47844a33d4000000,A
0x47844a33dc000000,A
0x4791fa8b44000000,A
0x4791fa8b4c000000,A
0x4791fa8b54000000,A
0x4791fa8b5c000000,A
0x4791fa8b64000000,A
0x4791fa8b6c000000,A
0x4791fa8b7c000000,A
0x4791fa8c34000000,A
0x4791fa8c44000000,A
0x4791fa8c4c000000,A
0x4791fa8c54000000,A
0x4791fa8c5c000000,A
0x4791fa8c64000000,A
0x4791fa8c6c000000,A
0x4791fa8c7c000000,A
0x4791fa8c84000000,A
0x4791fa8c8c000000,A
0x4791fa8c94000000,A
0x4791fa8c9c000000,A
0x4791fa8ca4000000,A
0x4791fa8cac000000,A
0x4791fa8cbc000000,A
0x4791fa8ce4000000,A
0x4791fa8cec000000,A
0x4791fa8cf4000000,A
0x4791fa8cfc000000,A
0x4791fa8d04000000,A
0x4791fa8d0c000000,A
0x4791fa8d84000000,A
0x4791fa8d8c000000,A
0x4791fa8d94000000,A
